Title,Source,Type,Theme,Origin,Tone Set,Tonal Center,Scale,CSP,Meter,Rhythmic Content,Hardest Rhythmic,Hardest Melodic,Melodic Form,Rhythmic Form,Classroom Use,Grade Level,Game,Full Melody,Full Rhythm,Source Link,PDFs,MuseScore Embed,Lyrics,Melodic Context
"Ah, Poor Bird","Choksy, L. (1974/1999). The Kodaly Method I (3rd Ed.) Upper Saddle River, NJ: Prentice Hall",Canon,"Animals, Birds, Emotions",England,"l,t,drm sil",la,"Harmonic Minor, la hexatonic",D,4/4,"ta,ti-ti,to-o",to-o,si,A,AABA,"Practice to-o, Chromatic, Part singing, Round, Canon, 4 part, Paired song, Quodlibet","2,3,4,5",No,"l,t,ddrmmllsilmrdt,l,",t t to t t to tt tt t tt t t to,,"Ah Poor Bird-Traditional_Notation.pdf, Ah Poor Bird-Stick_Notation.pdf, Ah Poor Bird-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30041201/embed,"Ah, poor bird, take your flight, Far above the sorrows of this sad night.","l,t,drmlsilmrdt,l,"
All Things Shall Parish,"Traditional. Bolkavec, E., & Johnson, J. (1996). 150 Rounds for Singing and Teaching. New York, Boosey & Hawkes. p. 4.",Canon,"Music, Death",Germany,"s,l,t,drmfsl",do,"do diatonic ext,",A,3/4,"ta,to-o,tam-ti",tam-ti,"ti,",ABA,ABA,"Practice tam-ti, Practice low ti, Part singing, Round, Canon, 3 part","3,4,5",No,"mmmrmfs,l,t,dsssfslfffmfsmmmrmfs,l,t,d",t t t tmt t t t to t t t tmt t t t t tmt t t t t tmt t t t t to,,"All Things Shall Perish-Traditional_Notation.pdf, All Things Shall Perish-Stick_notation.pdf, All Things Shall Perish-Stick_notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30041240/embed,"All things shall perish from under the sky, Music alone shall live, Music alone shall live, Music alone shall live, Never to die.","mrmfs,l,t,dsfslfmfsmrmfs,l,t,d"
As I Mee Walked,"Thomas Ravenscroft 'Pammelia'. The Oxford Dictionary of Music, 2nd ed. rev. Ed. Michael Kennedy. Oxford Music Online.",Canon,Birds,England,"f,s,l,t,drmfs",do,"do diatonic ext,",G,4/4,"ta,ti-ti,syn-co-pa,anacrusis",syn-co-pa,"fa,",A,A,"Practice syn-co-pa, Part singing, Round, Canon, 3 part","3,4,5,",No,"dfmrdmsdt,ddf,l,s,dsm",ti tt t tt scp tt tt t t z t t,https://www.pbm.com/~lindahl/ravenscroft/pammelia/pam_26small.html,"As I Me Walked-Traditional_Notation.pdf, As I Me Walked-Stick_Notation.pdf, As I Me Walked-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30041051/embed,"As I me walked in a May morning I heard a bird sing: ""Cuckoo!""","dfmrdmsdt,df,l,s,dsm"
Autumn Canon,"Bárdos, Lajos. Hetven Kánon. Universal Music Publishing Editio Musica, 1970. Originally in Hungarian ",Canon,"Nature, Seasons, Autumn",Hungary,"l,t,drmfsl",la,Natural Minor,C,"4/4, 2/2","ta,to-o,to-o-o-o",to-o-o-o,"ti,",A,A,"Practice whole note, Practice low ti, Part singing, Round, Canon, 3 part, Practice tie","3,4,5",No,"lsffmmmrdrrdt,ddt,l,t,l,",tooo tooo tooo to to to to to t t tooo to t t tooo to t t tooo tooo,https://www.kotta.info/hu/product/6233/Hetven-kanon,"Autumn Canon-Traditional_Notation.pdf, Autumn Canon-Stick_Notation.pdf, Autumn Canon-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30041450/embed,"Fly, fly, fly, the leaves are leaving the branch, Cold are the winds, winter is coming.","lsfmrdrdt,dt,l,t,l,"
Benji Met the Bear,"Melody: Pat Shaw Sing for Pleasure. Vaughn Williams Memorial Library, 1967-1973.
Lyrics: Originally a riddle by C. Birdseye & F. Rogers. The American College, 1910.",Canon,"Animals, Bears, Death",England,mfsltd'r'm',mi,Phrygian,C,2/4,"ta,tam-ti,tim-ka",tim-ka,"ti,",A,A,"Practice ti, Part singing, Round, Canon, 3 part, Swing 8ths","3,4",No,mmmmttm'm'r'ttd'tlsslsfm,tmk tmk tmt t t t tmk t t t tmk t t t t,https://soundeducators.org/wp-content/uploads/2023/03/Benjy-Met-a-Bear.pdf,"Benji Met the Bear-Traditional_Notation.pdf, Benji Met the Bear-Stick_Notation.pdf, Benji Met the Bear-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30041522/embed,"Benji met the bear, the bear met Benji, the bear was bulging, the bulge was Benji.",mtm'r'td'tlslsfm
The Birch Tree,"Eisen, A. & Robertson, L. (2002). An American Methodology. Lake Charles, LA: Sneaky Snake Publications",Canon,"Nature, Seasons",Russia,"l,t,drm s",la,"Natural Minor, la hexatonic",B,2/4,"ta,ti-ti,tam-ti",tam-ti,ti,AA'BB,AABB,"Introduce tam-ti, Practice ti, Part singing, Round, Canon, 3 part, Language: Russian","3,4,5",No,"mmmmrddt,l,mmsmrddt,l,t,drddt,l,t,drddt,l,",tt tt t tt t t tt tt t tt t t tmt t tt t t tmt t tt t t,,"The Birch Tree-Traditional_Notation.pdf, The Birch Tree-Stick_Notation.pdf, The Birch Tree-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30042218/embed,"See the lovely birch in the meadow, Curly leaves all dance when the wind blows, Liuli, liuli the wind blows, liuli liuli the wind blows.","mrdt,l,msmrdt,l,t,drdt,l,t,drdt,l,"
Boots of Shining Leather,"Eisen, A. & Robertson, L. (2002). An American Methodology. Lake Charles, LA: Sneaky Snake Publications p.288",Canon,"Music, Dancing, Clothing",Hungary,"l,t,drm  lt",la,"Natural Minor, la hexatonic ext'",D,4/4,"ta,ti-ti,rest,to-o-o-o",rest,"ti, ti",ABA',ABA',"Practice ti, Practice low ti, Part singing, Round, Canon, 4 part","3,4,5",No,"l,t,drmlmdrdt,l,l,l,t,drmlmdrdt,l,l,dt,l,s,drmdt,l,s,drmmlltlmml,t,drmlmdrdt,l,l,",tt tt tt t tt tt t t tt tt tt t tt tt t t t t t t t t t z t t t t t t t t tt tt t t tt tt tt t tt tt t t tooo,,"Boots of Shining Leather-Traditional_Notation.pdf, Boots of Shining Leather-Stick_Notation.pdf, Boots of Shining Leather-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30041585/embed,"If you dance then you must have boots of shining leather, Money in you pocketbook, in your cap a feather. But if you would sing with me, you won't need a cent you see: so come and sing together! If you dance then you must have boots of shining leather, Oh!","l,t,drmlmdrdl,t,drmlmdrdt,l,dt,l,s,drmdt,l,s,drmltlml,t,drmlmdrdt,l,"
Canoe Song,"Lyrics by Margaret Embers McGee. Found in Camp and Fellowship Song Book (RLDS), English. Independence, Missouri, USA. 1956. ",Canon,"Nature, Animals",Canada,"s,l, drm l",la,"Natural Minor, la pentatonic ext,",A,2/4,"ta,ti-ti,syn-co-pa",syn-co-pa,"so,",ABAC,ABAC,"Practice syn-co-pa, Part singing, Round, Canon, 8 part","2,3,4,5",No,"mmrdl,l,ddrmlmmrdl,l,l,l,s,l,",scp tt t scp t t scp tt t scp t z,,"Canoe Song-Traditional_Notation.pdf, Canoe Song-Stick_Notation.pdf, Canoe Song-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30041627/embed,"My paddle's keen and bright, Flashing with silver, Follow the wild goose flight, Dip, dip, and swing.","mrdl,drmlmrdl,s,l,"
COFFEE Canon ,"Arthur Kevess.(1968). German Folk Songs. San Francisco, CA: Oak Publications",Canon,"Food, Coffee",Germany,"s, t,drmfs",do,"do hexatonic ext,",C,3/4,"ta,ti-ti",ti-ti,"ti,",ABC,ABC,"Practice low ti, Part singing, Round, Canon, 3 part","2,3,4,5",No,"smddt,t,t,rt,dt,drdmmssmmfmfsfrrffrrmrmfmdddrrrs,s,sss,d",t t t t t t t t t tt tt t tt tt tt tt tt t tt tt tt tt tt t t t t t t t t t t t t t,,"COFFEE Canon English-Traditional_Notation.pdf, COFFEE Canon German-Traditional_Notation.pdf, COFFEE Canon English New Lyrics-Traditional_Notation.pdf, COFFEE Canon English-Stick_Notation.pdf, COFFEE Canon English-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30041768/embed,"COFFEE, Coffee is not for me. It's the drink some people wake up with that it makes them nervous is no myth, Holding a coffee cup, they can't give coffee up. COFFEE, don't drink so much coffee! This black drink smells good but makes children say ICK! Hot and bitter, coffee turns you pale and sick. Foolish men clutch their cups, they can't give coffee up. CAFFEE, trink nicht so viel Caffee! Nicht für Kinder ist der schwarze Trank, schwächt die Nerven, macht dich blass und krank. Sie doch kein dummerMann, der ihn nicht lassen kann.","smdt,rt,dt,drdmsmfmfsfrfrmrmfmdrs,ss,d"
"Come, Let's Dance ","Bolkavec, E., & Johnson, J. (1996). 150 Rounds for Singing and Teaching. New York, Boosey & Hawkes. p. 11. Originally in 6/8",Canon,"Music, Dancing",France,"t,drmfs",do,"do hexachordal ext,",C,3/4,"ta,ti-ti,to-o",to-o,"ti,",AA',AA',"Practice to-o, Round, Canon, 2 part","2,3,4,5",No,"sfmrdt,drmfsfmrdt,drd",to t to t tt t t to t to t to t tt t t to,,"Come Let's Dance-Traditional_Notation.pdf, Come Let's Dance-Stick_Notation.pdf, Come Let's Dance-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30041993/embed,"Come, let's dance and sing a song together, Come, we'll laugh and have a jolly time.","sfmrdt,drmfsfmrdt,drd"
